【一塁手】,試合,刺殺,補殺,失策,併殺,捕逸,守備率,列9,球団,成績種別
中日ドラゴンズ||,公式戦(セ・リーグ),：,個人打撃|,個人投手|,チーム守備|,,,,中日ドラゴンズ,守備成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,中日ドラゴンズ,守備成績
*,中村　晃,61,445,50,4,37,,.992,福岡ソフトバンクホークス,守備成績
【二塁手】,,,,,,,,,福岡ソフトバンクホークス,守備成績
【三塁手】,,,,,,,,,福岡ソフトバンクホークス,守備成績
【遊撃手】,,,,,,,,,福岡ソフトバンクホークス,守備成績
【外野手】,,,,,,,,,福岡ソフトバンクホークス,守備成績
*,笹川　吉康,12,28,0,0,0,,1.000,福岡ソフトバンクホークス,守備成績
【捕手】,,,,,,,,,福岡ソフトバンクホークス,守備成績
【投手】,,,,,,,,,福岡ソフトバンクホークス,守備成績
*,大江　竜聖,7,0,0,0,0,,.000,福岡ソフトバンクホークス,守備成績
*,大関　友久,15,6,8,0,0,,1.000,福岡ソフトバンクホークス,守備成績
*,大野　稼頭央,4,0,1,0,0,,1.000,福岡ソフトバンクホークス,守備成績
*,ヘルナンデス,21,0,1,0,0,,1.000,福岡ソフトバンクホークス,守備成績
*,前田　純,10,2,6,1,0,,.889,福岡ソフトバンクホークス,守備成績
*,前田　悠伍,1,0,0,0,0,,.000,福岡ソフトバンクホークス,守備成績
*,松本　晴,20,1,8,0,2,,1.000,福岡ソフトバンクホークス,守備成績
*,モイネロ,16,3,11,0,0,,1.000,福岡ソフトバンクホークス,守備成績
福岡ソフトバンクホークス||,公式戦(パ・リーグ),：,個人打撃|,個人投手|,チーム守備|,,,,福岡ソフトバンクホークス,守備成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,福岡ソフトバンクホークス,守備成績
【二塁手】,,,,,,,,,北海道日本ハムファイターズ,守備成績
【三塁手】,,,,,,,,,北海道日本ハムファイターズ,守備成績
【遊撃手】,,,,,,,,,北海道日本ハムファイターズ,守備成績
【外野手】,,,,,,,,,北海道日本ハムファイターズ,守備成績
*,矢澤　宏太,42,71,2,4,0,,.948,北海道日本ハムファイターズ,守備成績
【捕手】,,,,,,,,,北海道日本ハムファイターズ,守備成績
【投手】,,,,,,,,,北海道日本ハムファイターズ,守備成績
*,上原　健太,6,2,1,0,0,,1.000,北海道日本ハムファイターズ,守備成績
*,加藤　貴之,13,6,14,0,0,,1.000,北海道日本ハムファイターズ,守備成績
*,河野　竜生,27,0,4,0,0,,1.000,北海道日本ハムファイターズ,守備成績
*,細野　晴希,6,0,6,0,0,,1.000,北海道日本ハムファイターズ,守備成績
*,堀　瑞輝,2,0,1,0,0,,1.000,北海道日本ハムファイターズ,守備成績
*,宮西　尚生,23,2,0,0,0,,1.000,北海道日本ハムファイターズ,守備成績
*,山﨑　福也,13,6,16,0,0,,1.000,北海道日本ハムファイターズ,守備成績
北海道日本ハムファイターズ||,公式戦(パ・リーグ),：,個人打撃|,個人投手|,チーム守備|,,,,北海道日本ハムファイターズ,守備成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,北海道日本ハムファイターズ,守備成績
【二塁手】,,,,,,,,,千葉ロッテマリーンズ,守備成績
【三塁手】,,,,,,,,,千葉ロッテマリーンズ,守備成績
【遊撃手】,,,,,,,,,千葉ロッテマリーンズ,守備成績
【外野手】,,,,,,,,,千葉ロッテマリーンズ,守備成績
*,藤原　恭大,75,195,2,2,0,,.990,千葉ロッテマリーンズ,守備成績
*,ポランコ,1,3,0,0,0,,1.000,千葉ロッテマリーンズ,守備成績
*,和田　康士朗,6,4,0,0,0,,1.000,千葉ロッテマリーンズ,守備成績
【捕手】,,,,,,,,,千葉ロッテマリーンズ,守備成績
【投手】,,,,,,,,,千葉ロッテマリーンズ,守備成績
*,小島　和哉,14,7,10,1,0,,.944,千葉ロッテマリーンズ,守備成績
*,サモンズ,7,1,2,0,0,,1.000,千葉ロッテマリーンズ,守備成績
*,坂本　光士郎,8,0,2,0,0,,1.000,千葉ロッテマリーンズ,守備成績
*,鈴木　昭汰,29,1,2,0,0,,1.000,千葉ロッテマリーンズ,守備成績
*,高野　脩汰,15,1,3,1,0,,.800,千葉ロッテマリーンズ,守備成績
*,中村　稔弥,6,0,2,0,0,,1.000,千葉ロッテマリーンズ,守備成績
千葉ロッテマリーンズ||,公式戦(パ・リーグ),：,個人打撃|,個人投手|,チーム守備|,,,,千葉ロッテマリーンズ,守備成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,千葉ロッテマリーンズ,守備成績
【二塁手】,,,,,,,,,東北楽天ゴールデンイーグルス,守備成績
【三塁手】,,,,,,,,,東北楽天ゴールデンイーグルス,守備成績
【遊撃手】,,,,,,,,,東北楽天ゴールデンイーグルス,守備成績
【外野手】,,,,,,,,,東北楽天ゴールデンイーグルス,守備成績
*,武藤　敦貴,25,26,0,0,0,,1.000,東北楽天ゴールデンイーグルス,守備成績
【捕手】,,,,,,,,,東北楽天ゴールデンイーグルス,守備成績
【投手】,,,,,,,,,東北楽天ゴールデンイーグルス,守備成績
*,辛島　航,2,0,0,0,0,,.000,東北楽天ゴールデンイーグルス,守備成績
*,古謝　樹,9,1,5,1,0,,.857,東北楽天ゴールデンイーグルス,守備成績
*,鈴木　翔天,24,0,1,0,0,,1.000,東北楽天ゴールデンイーグルス,守備成績
*,ターリー,2,0,0,0,0,,.000,東北楽天ゴールデンイーグルス,守備成績
*,早川　隆久,11,1,2,1,0,,.750,東北楽天ゴールデンイーグルス,守備成績
*,藤井　聖,13,1,11,0,2,,1.000,東北楽天ゴールデンイーグルス,守備成績
東北楽天ゴールデンイーグルス||,公式戦(パ・リーグ),：,個人打撃|,個人投手|,チーム守備|,,,,東北楽天ゴールデンイーグルス,守備成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,東北楽天ゴールデンイーグルス,守備成績
【二塁手】,,,,,,,,,オリックス・バファローズ,守備成績
【三塁手】,,,,,,,,,オリックス・バファローズ,守備成績
【遊撃手】,,,,,,,,,オリックス・バファローズ,守備成績
【外野手】,,,,,,,,,オリックス・バファローズ,守備成績
*,渡部　遼人,14,12,0,0,0,,1.000,オリックス・バファローズ,守備成績
【捕手】,,,,,,,,,オリックス・バファローズ,守備成績
【投手】,,,,,,,,,オリックス・バファローズ,守備成績
*,曽谷　龍平,15,3,15,0,0,,1.000,オリックス・バファローズ,守備成績
*,田嶋　大樹,12,1,10,0,0,,1.000,オリックス・バファローズ,守備成績
*,東松　快征,1,0,1,0,0,,1.000,オリックス・バファローズ,守備成績
*,富山　凌雅,5,0,1,0,0,,1.000,オリックス・バファローズ,守備成績
*,宮城　大弥,15,3,10,1,0,,.929,オリックス・バファローズ,守備成績
*,山田　修義,22,1,6,0,0,,1.000,オリックス・バファローズ,守備成績
オリックス・バファローズ||,公式戦(パ・リーグ),：,個人打撃|,個人投手|,チーム守備|,,,,オリックス・バファローズ,守備成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,オリックス・バファローズ,守備成績
【二塁手】,,,,,,,,,埼玉西武ライオンズ,守備成績
【三塁手】,,,,,,,,,埼玉西武ライオンズ,守備成績
【遊撃手】,,,,,,,,,埼玉西武ライオンズ,守備成績
【外野手】,,,,,,,,,埼玉西武ライオンズ,守備成績
*,蛭間　拓哉,12,19,0,0,0,,1.000,埼玉西武ライオンズ,守備成績
【捕手】,,,,,,,,,埼玉西武ライオンズ,守備成績
【投手】,,,,,,,,,埼玉西武ライオンズ,守備成績
*,佐々木　健,12,0,1,1,0,,.500,埼玉西武ライオンズ,守備成績
*,佐藤　隼輔,20,2,4,0,0,,1.000,埼玉西武ライオンズ,守備成績
*,菅井　信也,9,1,3,0,0,,1.000,埼玉西武ライオンズ,守備成績
*,隅田　知一郎,15,1,14,0,1,,1.000,埼玉西武ライオンズ,守備成績
*,武内　夏暉,9,1,4,0,0,,1.000,埼玉西武ライオンズ,守備成績
*,羽田　慎之介,21,0,3,0,0,,1.000,埼玉西武ライオンズ,守備成績
埼玉西武ライオンズ||,公式戦(パ・リーグ),：,個人打撃|,個人投手|,チーム守備|,,,,埼玉西武ライオンズ,守備成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,埼玉西武ライオンズ,守備成績
